,x_coord,y_coord,geometry,h_distance,Year,Elevation,sectionId
164,401842.64693899965,5755908.6298504565,POINT (401842.6469389996 5755908.629850456),4.60159362566611,DTM_2018,79.89141082763672,Chainage 225
165,401842.75402377493,5755908.682938482,POINT (401842.7540237749 5755908.682938482),4.721115537952008,DTM_2018,79.9953842163086,Chainage 225
166,401842.8611085502,5755908.736026507,POINT (401842.8611085502 5755908.736026507),4.840637450237901,DTM_2018,80.0,Chainage 225
167,401842.9681933255,5755908.789114532,POINT (401842.9681933255 5755908.789114532),4.960159362523791,DTM_2018,80.01000213623047,Chainage 225
168,401843.0752781008,5755908.842202557,POINT (401843.0752781008 5755908.842202557),5.079681274809689,DTM_2018,80.00234985351562,Chainage 225
169,401843.182362876,5755908.895290583,POINT (401843.182362876 5755908.895290583),5.199203187457096,DTM_2018,80.05000305175781,Chainage 225
170,401843.2894476513,5755908.948378609,POINT (401843.2894476513 5755908.948378609),5.31872509974299,DTM_2018,80.07833099365234,Chainage 225
171,401843.3965324266,5755909.001466634,POINT (401843.3965324266 5755909.001466634),5.438247012028883,DTM_2018,80.08999633789062,Chainage 225
172,401843.5036172019,5755909.054554659,POINT (401843.5036172019 5755909.054554659),5.557768924314777,DTM_2018,80.13099670410156,Chainage 225
173,401843.6107019771,5755909.107642684,POINT (401843.6107019771 5755909.107642684),5.67729083654852,DTM_2018,80.13444519042969,Chainage 225
174,401843.7177867524,5755909.16073071,POINT (401843.7177867524 5755909.16073071),5.796812749248078,DTM_2018,80.14344787597656,Chainage 225
175,401843.8248715277,5755909.213818735,POINT (401843.8248715277 5755909.213818735),5.916334661533972,DTM_2018,80.14344787597656,Chainage 225
176,401843.93195630296,5755909.266906761,POINT (401843.931956303 5755909.266906761),6.035856573819865,DTM_2018,80.15599822998047,Chainage 225
177,401844.03904107824,5755909.319994786,POINT (401844.0390410782 5755909.319994786),6.155378486105759,DTM_2018,80.18647003173828,Chainage 225
178,401844.14612585347,5755909.373082811,POINT (401844.1461258535 5755909.373082811),6.274900398339502,DTM_2018,80.18647003173828,Chainage 225
179,401844.25321062875,5755909.426170837,POINT (401844.2532106288 5755909.426170837),6.39442231103906,DTM_2018,80.19541931152344,Chainage 225
180,401844.36029540404,5755909.479258862,POINT (401844.360295404 5755909.479258862),6.513944223324954,DTM_2018,80.20769500732422,Chainage 225
181,401844.4673801793,5755909.5323468875,POINT (401844.4673801793 5755909.532346888),6.633466135610847,DTM_2018,80.20999908447266,Chainage 225
182,401844.5744649546,5755909.585434913,POINT (401844.5744649546 5755909.585434913),6.752988047896741,DTM_2018,80.2145004272461,Chainage 225
183,401844.68154972984,5755909.638522938,POINT (401844.6815497298 5755909.638522938),6.872509960130484,DTM_2018,80.2208023071289,Chainage 225
184,401844.7886345051,5755909.691610963,POINT (401844.7886345051 5755909.691610963),6.992031872416378,DTM_2018,80.23615264892578,Chainage 225
185,401844.8957192804,5755909.744698989,POINT (401844.8957192804 5755909.744698989),7.111553785115939,DTM_2018,80.24749755859375,Chainage 225
186,401845.0028040557,5755909.797787014,POINT (401845.0028040557 5755909.797787014),7.231075697401829,DTM_2018,80.2583999633789,Chainage 225
187,401845.109888831,5755909.85087504,POINT (401845.109888831 5755909.85087504),7.350597609687727,DTM_2018,80.259033203125,Chainage 225
188,401845.2169736062,5755909.903963065,POINT (401845.2169736062 5755909.903963065),7.47011952192147,DTM_2018,80.25823211669922,Chainage 225
189,401845.3240583815,5755909.95705109,POINT (401845.3240583815 5755909.95705109),7.589641434207364,DTM_2018,80.25823211669922,Chainage 225
190,401845.4311431568,5755910.010139116,POINT (401845.4311431568 5755910.010139116),7.709163346906921,DTM_2018,80.24884796142578,Chainage 225
191,401845.53822793206,5755910.063227141,POINT (401845.5382279321 5755910.063227141),7.828685259192815,DTM_2018,80.25386810302734,Chainage 225
192,401845.6453127073,5755910.1163151665,POINT (401845.6453127073 5755910.116315166),7.948207171426555,DTM_2018,80.25386810302734,Chainage 225
